Branch_Location,Loan_Product,Employment_Status,Credit_Risk_Rating,Loan_Status,Loan_Amount_PHP,Interest_Rate_Annual,Monthly_Income_PHP,Loan_Term_Months,Days_Past_Due,Application_Date,Disbursement_Date
Davao Central Branch,OFW Remittance Advance,Regular,Medium Risk,Restructured,392139.02,19.46,29051.98,24,3,2025-04-04,2025-04-06
Quezon City Hub,Small Business Micro-Loan,Contractual,Medium Risk,Past Due,324595.51,11.09,81103.56,6,84,2025-05-21,2025-05-27
Quezon City Hub,Salary Loan,Self-Employed,Medium Risk,Restructured,51228.58,11.1,20704.86,36,38,2025-06-18,2025-06-21
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Restructured,89198.07,9.07,93607.75,6,5,2025-02-28,2025-03-02
Davao Central Branch,Salary Loan,Self-Employed,Low Risk,Active,450291.55,19.91,48346.61,12,80,2025-03-10,2025-03-13
Davao Central Branch,Emergency Cash Loan,Regular,High Risk,Active,307150.24,18.79,15014.14,36,88,2025-04-29,2025-05-04
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,14506.56,15.86,68668.56,6,68,2025-04-02,2025-04-06
Quezon City Hub,Salary Loan,Self-Employed,Medium Risk,Restructured,59721.06,21.58,19919.45,18,68,2025-02-14,2025-02-17
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Fully Paid,335115.87,20.99,43997.8,24,19,2025-05-28,2025-05-30
Makati CBD Branch,Emergency Cash Loan,Contractual,Low Risk,Past Due,12480.18,17.57,89232.53,24,63,2025-01-24,2025-01-29
Quezon City Hub,Small Business Micro-Loan,Self-Employed,Low Risk,Restructured,88795.95,21.96,21582.41,18,15,2025-04-01,2025-04-07
Makati CBD Branch,Emergency Cash Loan,Regular,Low Risk,Past Due,278879.56,11.69,103130.54,12,50,2025-04-04,2025-04-09
Davao Central Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,349028.65,10.23,15401.09,36,36,2025-02-27,2025-03-03
Makati CBD Branch,Emergency Cash Loan,Contractual,Medium Risk,Past Due,329461.02,12.68,40916.51,24,72,2025-06-04,2025-06-09
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Fully Paid,119891.96,9.38,92794.93,18,68,2025-06-03,2025-06-09
Quezon City Hub,Small Business Micro-Loan,Contractual,Medium Risk,Fully Paid,358967.82,16.73,48208.37,18,41,2025-05-08,2025-05-10
Cebu IT Park Branch,Salary Loan,Contractual,Medium Risk,Active,126252.05,23.02,25698.7,12,56,2025-01-07,2025-01-10
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Active,169445.85,9.11,52824.56,12,65,2025-06-19,2025-06-23
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Restructured,375780.79,10.39,43391.3,6,8,2025-02-16,2025-02-22
Quezon City Hub,Salary Loan,Regular,Medium Risk,Past Due,328320.12,15.51,103484.75,24,85,2025-02-22,2025-02-26
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,426119.47,22.98,47901.53,6,63,2025-02-07,2025-02-12
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,High Risk,Active,332230.32,13.4,97837.91,18,85,2025-02-22,2025-02-26
Cebu IT Park Branch,Salary Loan,Regular,Low Risk,Fully Paid,288471.22,16.36,108646.58,36,21,2025-05-23,2025-05-29
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Active,55900.64,9.14,60550.83,36,33,2025-06-03,2025-06-06
Davao Central Branch,Emergency Cash Loan,Regular,Low Risk,Restructured,190180.74,10.8,110544.03,12,54,2025-02-17,2025-02-20
Quezon City Hub,Salary Loan,OFW Dependent,High Risk,Active,139949.16,23.79,54618.4,36,28,2025-04-05,2025-04-09
Cebu IT Park Branch,Emergency Cash Loan,Regular,High Risk,Restructured,129554.93,23.46,116228.23,36,37,2025-05-27,2025-05-29
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,486775.17,8.58,24375.4,36,17,2025-05-17,2025-05-21
Davao Central Branch,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,202617.89,23.25,87137.02,18,70,2025-03-05,2025-03-10
Makati CBD Branch,Salary Loan,Regular,Low Risk,Restructured,447102.81,18.41,66850.47,36,64,2025-04-03,2025-04-06
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,High Risk,Active,319257.93,21.95,55703.12,36,0,2025-05-05,2025-05-08
Makati CBD Branch,Salary Loan,Regular,Medium Risk,Restructured,399457.54,15.55,81434.75,36,87,2025-06-28,2025-07-01
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,256292.18,16.49,88904.99,6,3,2025-02-08,2025-02-10
Makati CBD Branch,Emergency Cash Loan,Regular,Medium Risk,Past Due,292682.9,16.08,15458.14,18,3,2025-01-04,2025-01-06
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Restructured,251333.67,18.84,32530.07,12,81,2025-05-06,2025-05-12
Quezon City Hub,OFW Remittance Advance,Regular,Low Risk,Active,105669.06,10.66,89869.84,6,26,2025-01-03,2025-01-07
Makati CBD Branch,Salary Loan,Contractual,Low Risk,Restructured,364001.54,8.96,84970.47,24,42,2025-03-05,2025-03-09
Quezon City Hub,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,147578.46,13.27,116434.99,18,58,2025-01-29,2025-02-03
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Fully Paid,21914.82,19.42,94908.97,18,31,2025-04-26,2025-04-29
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Medium Risk,Restructured,326281.42,11.63,114831.13,24,32,2025-01-11,2025-01-13
Davao Central Branch,Salary Loan,Contractual,High Risk,Fully Paid,96784.23,18.94,88766.75,24,27,2025-04-07,2025-04-12
Cebu IT Park Branch,Salary Loan,OFW Dependent,High Risk,Fully Paid,470824.71,23.53,46295.48,24,54,2025-04-12,2025-04-17
Davao Central Branch,Salary Loan,Regular,Low Risk,Active,477425.0,9.96,26063.32,12,59,2025-06-04,2025-06-06
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,High Risk,Past Due,458283.55,18.93,97091.51,36,69,2025-01-21,2025-01-25
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Fully Paid,191377.76,15.38,82635.67,18,61,2025-02-08,2025-02-11
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Fully Paid,17573.74,21.96,20059.53,36,79,2025-04-12,2025-04-16
Cebu IT Park Branch,Emergency Cash Loan,Regular,High Risk,Past Due,464876.1,11.25,52805.3,36,33,2025-02-15,2025-02-20
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Low Risk,Past Due,219810.23,19.24,115463.98,24,86,2025-03-07,2025-03-10
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Fully Paid,483660.86,21.49,67542.12,12,87,2025-04-01,2025-04-07
Davao Central Branch,OFW Remittance Advance,Regular,Medium Risk,Restructured,482173.79,23.14,60436.56,6,55,2025-06-13,2025-06-18
Quezon City Hub,OFW Remittance Advance,Contractual,Low Risk,Fully Paid,427974.63,19.09,63058.46,12,12,2025-04-21,2025-04-25
Quezon City Hub,Salary Loan,Contractual,Medium Risk,Restructured,154279.96,16.21,36932.69,36,55,2025-03-23,2025-03-27
Cebu IT Park Branch,Salary Loan,OFW Dependent,Low Risk,Restructured,198697.89,18.08,53714.25,12,17,2025-05-03,2025-05-07
Cebu IT Park Branch,Salary Loan,Self-Employed,Medium Risk,Restructured,427056.97,21.97,53830.39,24,53,2025-04-09,2025-04-11
Makati CBD Branch,Salary Loan,OFW Dependent,High Risk,Past Due,165291.78,17.34,20497.28,6,76,2025-02-04,2025-02-09
Makati CBD Branch,Salary Loan,Self-Employed,Low Risk,Fully Paid,93051.45,8.97,95594.6,24,42,2025-06-08,2025-06-11
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Fully Paid,282832.62,22.93,58732.97,6,38,2025-06-05,2025-06-09
Quezon City Hub,Emergency Cash Loan,Contractual,Low Risk,Active,468715.84,19.19,101328.89,36,60,2025-04-13,2025-04-17
Cebu IT Park Branch,Salary Loan,OFW Dependent,Low Risk,Past Due,351054.6,18.99,104286.54,6,41,2025-05-09,2025-05-11
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Active,289329.97,11.84,37259.38,6,80,2025-01-25,2025-01-28
Quezon City Hub,Emergency Cash Loan,Self-Employed,Low Risk,Active,57616.48,18.71,84022.12,6,78,2025-02-12,2025-02-17
Quezon City Hub,OFW Remittance Advance,Contractual,High Risk,Restructured,311353.54,14.6,64589.59,12,17,2025-03-25,2025-03-31
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Past Due,495126.39,18.59,107416.46,12,22,2025-02-20,2025-02-22
Cebu IT Park Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Active,78641.17,10.15,37652.77,36,53,2025-05-10,2025-05-15
Davao Central Branch,Small Business Micro-Loan,Regular,Low Risk,Fully Paid,263981.53,18.7,86170.39,6,29,2025-05-06,2025-05-12
Cebu IT Park Branch,Salary Loan,OFW Dependent,Medium Risk,Active,439912.81,23.99,78813.97,18,57,2025-03-10,2025-03-14
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Past Due,372976.62,9.25,46006.66,36,67,2025-01-09,2025-01-13
Makati CBD Branch,Emergency Cash Loan,Self-Employed,High Risk,Fully Paid,351537.71,23.65,29343.09,6,66,2025-01-02,2025-01-05
Quezon City Hub,Small Business Micro-Loan,Regular,Medium Risk,Fully Paid,354217.2,14.81,83422.17,6,70,2025-06-11,2025-06-17
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,186150.66,22.0,92552.73,12,17,2025-06-08,2025-06-12
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Restructured,153860.0,20.63,48140.87,36,6,2025-01-10,2025-01-14
Davao Central Branch,Small Business Micro-Loan,Contractual,Low Risk,Fully Paid,406586.97,17.29,82707.42,6,39,2025-04-24,2025-04-27
Davao Central Branch,Small Business Micro-Loan,Regular,Medium Risk,Restructured,406955.56,19.95,56488.75,6,69,2025-03-17,2025-03-22
Davao Central Branch,Emergency Cash Loan,Regular,High Risk,Restructured,434865.44,22.12,89886.72,36,85,2025-06-13,2025-06-17
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Active,457487.87,14.76,35917.6,18,64,2025-03-26,2025-03-28
Quezon City Hub,Small Business Micro-Loan,Contractual,High Risk,Active,260557.78,13.57,108472.58,36,67,2025-02-18,2025-02-20
Makati CBD Branch,OFW Remittance Advance,Contractual,Medium Risk,Fully Paid,255742.98,18.85,45178.01,36,48,2025-03-11,2025-03-16
Davao Central Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Past Due,401164.64,21.02,53617.53,18,51,2025-06-26,2025-07-02
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,High Risk,Fully Paid,328482.33,20.32,21099.65,36,28,2025-05-11,2025-05-14
Quezon City Hub,OFW Remittance Advance,Self-Employed,Low Risk,Active,353963.77,20.87,26708.78,6,20,2025-05-13,2025-05-15
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Fully Paid,399938.41,15.25,69165.5,36,89,2025-03-31,2025-04-02
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Medium Risk,Active,446102.62,21.18,43097.23,18,77,2025-01-26,2025-01-31
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Medium Risk,Fully Paid,175617.63,10.36,102725.42,24,8,2025-03-13,2025-03-19
Quezon City Hub,OFW Remittance Advance,Self-Employed,High Risk,Past Due,194035.65,16.94,16542.81,36,46,2025-01-05,2025-01-11
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Fully Paid,56051.15,8.59,54804.88,12,75,2025-01-15,2025-01-20
Quezon City Hub,OFW Remittance Advance,Regular,Medium Risk,Past Due,293357.27,13.53,50421.28,6,41,2025-05-03,2025-05-05
Cebu IT Park Branch,OFW Remittance Advance,Regular,High Risk,Past Due,27611.71,14.18,17029.4,6,50,2025-05-24,2025-05-27
Davao Central Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,238143.03,14.64,28058.68,12,55,2025-01-01,2025-01-03
Davao Central Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Past Due,275895.87,19.28,58432.48,12,50,2025-05-24,2025-05-30
Makati CBD Branch,Salary Loan,Self-Employed,Low Risk,Past Due,150405.21,14.52,66750.78,36,69,2025-06-14,2025-06-16
Davao Central Branch,Emergency Cash Loan,Regular,Medium Risk,Active,299508.3,15.45,57450.42,12,19,2025-01-03,2025-01-06
Davao Central Branch,Emergency Cash Loan,Regular,Low Risk,Active,24945.12,12.18,70748.46,24,87,2025-06-29,2025-07-03
Cebu IT Park Branch,Small Business Micro-Loan,Regular,Low Risk,Past Due,28300.61,14.29,77488.83,18,26,2025-02-16,2025-02-18
Makati CBD Branch,Emergency Cash Loan,OFW Dependent,Low Risk,Restructured,413074.27,12.02,16042.0,12,37,2025-04-05,2025-04-10
Quezon City Hub,Emergency Cash Loan,OFW Dependent,High Risk,Fully Paid,186493.41,9.63,63729.99,12,71,2025-01-13,2025-01-17
Makati CBD Branch,Salary Loan,Self-Employed,High Risk,Past Due,72259.65,17.85,116167.42,24,64,2025-04-30,2025-05-05
Davao Central Branch,Emergency Cash Loan,Self-Employed,High Risk,Fully Paid,265899.2,18.86,69498.39,6,53,2025-02-24,2025-03-01
Quezon City Hub,Salary Loan,Self-Employed,Medium Risk,Active,387296.84,18.1,86141.94,6,23,2025-05-29,2025-06-03
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Fully Paid,115752.3,15.68,47745.71,36,46,2025-03-07,2025-03-09
Makati CBD Branch,Salary Loan,Contractual,High Risk,Past Due,315216.33,14.39,96269.09,24,70,2025-06-04,2025-06-10
Makati CBD Branch,OFW Remittance Advance,OFW Dependent,Medium Risk,Past Due,51820.26,21.88,96156.76,18,82,2025-06-15,2025-06-19
Makati CBD Branch,OFW Remittance Advance,Regular,Medium Risk,Past Due,35324.04,16.55,69736.09,18,85,2025-03-31,2025-04-03
Cebu IT Park Branch,Salary Loan,Regular,Low Risk,Past Due,270363.77,15.93,,24,62,2025-03-03,2025-03-09
Makati CBD Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Restructured,274911.21,8.9,28182.77,18,56,2025-04-12,2025-04-14
Davao Central Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Restructured,322340.65,13.79,16779.5,6,54,2025-06-23,2025-06-28
Davao Central Branch,OFW Remittance Advance,Regular,High Risk,Restructured,365784.75,14.39,95866.61,18,59,2025-05-19,2025-05-22
Cebu IT Park Branch,Salary Loan,OFW Dependent,Low Risk,Past Due,488167.52,14.68,99751.33,18,61,2025-01-08,2025-01-12
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Low Risk,Restructured,262987.17,17.49,27621.76,24,29,2025-04-07,2025-04-13
Quezon City Hub,OFW Remittance Advance,Regular,Medium Risk,Fully Paid,168248.67,16.77,42886.2,24,21,2025-04-27,2025-05-03
Davao Central Branch,Small Business Micro-Loan,Contractual,High Risk,Past Due,399641.24,17.92,16843.0,18,74,2025-03-05,2025-03-08
Davao Central Branch,Salary Loan,Contractual,High Risk,Active,142707.8,20.36,45797.4,12,83,2025-01-21,2025-01-23
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,High Risk,Past Due,225096.0,21.1,96179.9,24,28,2025-04-25,2025-04-29
Quezon City Hub,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,48443.63,19.63,69385.86,36,40,2025-03-26,2025-03-29
Quezon City Hub,Small Business Micro-Loan,Contractual,Medium Risk,Restructured,22421.86,23.31,51550.04,36,41,2025-01-20,2025-01-25
Makati CBD Branch,OFW Remittance Advance,Contractual,High Risk,Past Due,481697.72,8.78,54032.63,6,64,2025-01-08,2025-01-12
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Low Risk,Restructured,419630.26,11.53,15142.13,18,30,2025-02-27,2025-03-05
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Past Due,351027.36,8.62,46479.06,12,29,2025-02-15,2025-02-18
Cebu IT Park Branch,Salary Loan,Regular,Medium Risk,Fully Paid,210386.94,18.54,82878.17,6,17,2025-01-31,2025-02-06
Davao Central Branch,Salary Loan,Contractual,High Risk,Past Due,94914.22,22.42,117290.42,18,16,2025-04-03,2025-04-09
Cebu IT Park Branch,Salary Loan,Self-Employed,High Risk,Restructured,86654.15,12.27,103941.39,24,37,2025-01-09,2025-01-15
Quezon City Hub,Salary Loan,Regular,High Risk,Restructured,132619.02,22.87,17477.47,36,13,2025-01-15,2025-01-17
Davao Central Branch,Salary Loan,Contractual,High Risk,Fully Paid,279121.07,9.43,109348.86,12,86,2025-04-04,2025-04-10
Makati CBD Branch,Salary Loan,OFW Dependent,Medium Risk,Past Due,360152.0,22.98,97235.83,36,88,2025-06-03,2025-06-08
Cebu IT Park Branch,OFW Remittance Advance,Regular,High Risk,Active,333496.71,13.95,96939.49,24,78,2025-05-18,2025-05-23
Cebu IT Park Branch,Salary Loan,Regular,Medium Risk,Past Due,147167.61,10.07,63089.55,18,55,2025-01-29,2025-02-02
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Fully Paid,477883.99,16.03,56790.56,24,21,2025-03-21,2025-03-27
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,High Risk,Active,371569.49,12.48,46806.15,24,66,2025-02-05,2025-02-11
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Fully Paid,281633.49,12.92,21897.96,36,55,2025-03-25,2025-03-28
Quezon City Hub,Salary Loan,Contractual,Medium Risk,Past Due,309743.17,13.26,38964.71,12,18,2025-04-19,2025-04-21
Davao Central Branch,Salary Loan,Self-Employed,Low Risk,Active,215604.03,20.95,40893.38,24,56,2025-04-28,2025-05-02
Quezon City Hub,Small Business Micro-Loan,Self-Employed,Medium Risk,Fully Paid,131388.18,16.86,65828.09,36,43,2025-02-06,2025-02-12
Quezon City Hub,Small Business Micro-Loan,Regular,High Risk,Restructured,184426.61,13.33,93481.66,12,34,2025-03-27,2025-03-30
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,High Risk,Active,381344.59,17.96,64750.03,18,0,2025-03-12,2025-03-14
Cebu IT Park Branch,Emergency Cash Loan,OFW Dependent,Medium Risk,Active,17052.81,19.6,21073.67,18,51,2025-05-31,2025-06-04
Quezon City Hub,Emergency Cash Loan,Self-Employed,Low Risk,Fully Paid,66875.59,12.73,115567.93,6,84,2025-06-18,2025-06-22
Quezon City Hub,Emergency Cash Loan,Regular,Medium Risk,Restructured,32541.29,14.91,113986.05,36,69,2025-04-03,2025-04-09
Quezon City Hub,Emergency Cash Loan,Regular,Medium Risk,Active,,10.39,97444.9,12,36,2025-03-21,2025-03-25
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,High Risk,Fully Paid,429175.69,11.31,119089.43,24,64,2025-04-12,2025-04-15
Cebu IT Park Branch,Salary Loan,Self-Employed,Low Risk,Active,354792.35,19.06,72170.64,18,50,2025-06-05,2025-06-09
Makati CBD Branch,Small Business Micro-Loan,Self-Employed,Medium Risk,Active,242345.18,11.31,116090.68,12,0,2025-06-25,2025-06-30
Quezon City Hub,Salary Loan,Contractual,Low Risk,Active,57938.74,16.64,22938.53,36,20,2025-06-15,2025-06-18
Davao Central Branch,Small Business Micro-Loan,Regular,Low Risk,Restructured,250891.78,19.49,53396.48,6,52,2025-06-08,2025-06-10
Cebu IT Park Branch,Salary Loan,Regular,Medium Risk,Past Due,242001.17,10.16,38665.03,18,15,2025-01-14,2025-01-16
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,94868.92,17.29,35562.47,12,60,2025-04-27,2025-05-03
Quezon City Hub,Emergency Cash Loan,Self-Employed,High Risk,Restructured,222587.31,12.48,29784.31,12,53,2025-03-14,2025-03-20
Davao Central Branch,Salary Loan,Self-Employed,High Risk,Restructured,205267.32,23.43,80353.43,12,39,2025-04-01,2025-04-06
Cebu IT Park Branch,Small Business Micro-Loan,Self-Employed,High Risk,Fully Paid,311766.55,15.99,97038.79,36,25,2025-03-31,2025-04-02
Davao Central Branch,Salary Loan,Self-Employed,High Risk,Active,321195.89,20.99,75721.33,36,79,2025-01-29,2025-01-31
Cebu IT Park Branch,OFW Remittance Advance,OFW Dependent,Low Risk,Restructured,32198.96,17.03,30431.08,36,64,2025-06-28,2025-06-30
Makati CBD Branch,OFW Remittance Advance,Self-Employed,High Risk,Fully Paid,193560.18,9.17,100168.0,24,73,2025-02-18,2025-02-20
Davao Central Branch,Salary Loan,Contractual,Medium Risk,Past Due,316671.36,18.31,81775.24,12,63,2025-06-20,2025-06-24
Quezon City Hub,Emergency Cash Loan,OFW Dependent,High Risk,Past Due,256536.77,23.25,55757.4,18,42,2025-03-13,2025-03-16
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Medium Risk,Past Due,429680.02,17.82,85783.68,36,16,2025-05-13,2025-05-16
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Past Due,332759.88,21.2,42290.02,36,58,2025-02-11,2025-02-16
Quezon City Hub,OFW Remittance Advance,Regular,High Risk,Fully Paid,,22.21,51245.18,12,22,2025-05-15,2025-05-19
Davao Central Branch,Salary Loan,Self-Employed,High Risk,Active,44578.69,12.04,111336.01,36,6,2025-02-11,2025-02-13
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Fully Paid,324785.45,11.79,45502.97,24,43,2025-06-13,2025-06-15
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Medium Risk,Active,22990.54,17.97,64348.77,24,52,2025-04-15,2025-04-21
Davao Central Branch,Small Business Micro-Loan,Self-Employed,High Risk,Past Due,297030.03,14.87,108464.82,36,70,2025-01-27,2025-02-02
Cebu IT Park Branch,Emergency Cash Loan,Regular,Low Risk,Restructured,470712.82,21.52,89310.74,12,78,2025-02-27,2025-03-04
Makati CBD Branch,Small Business Micro-Loan,Regular,High Risk,Restructured,291982.35,22.45,21531.34,12,33,2025-02-15,2025-02-17
Cebu IT Park Branch,Emergency Cash Loan,Regular,High Risk,Restructured,200203.26,13.98,30466.82,12,45,2025-03-07,2025-03-12
Quezon City Hub,Small Business Micro-Loan,Regular,High Risk,Active,325211.23,12.17,15823.37,6,67,2025-01-25,2025-01-29
Quezon City Hub,Salary Loan,Contractual,Medium Risk,Past Due,234543.92,20.6,81246.79,36,77,2025-03-14,2025-03-17
Cebu IT Park Branch,OFW Remittance Advance,Regular,High Risk,Fully Paid,277352.23,12.76,62005.71,12,77,2025-04-27,2025-04-29
Makati CBD Branch,Emergency Cash Loan,Self-Employed,Low Risk,Restructured,471317.76,21.25,29098.86,24,15,2025-06-04,2025-06-08
Makati CBD Branch,Salary Loan,Self-Employed,High Risk,Active,199190.29,15.07,115583.08,18,70,2025-05-09,2025-05-11
Quezon City Hub,OFW Remittance Advance,Contractual,High Risk,Restructured,480983.38,18.85,70614.27,18,18,2025-03-28,2025-04-03
Makati CBD Branch,OFW Remittance Advance,Regular,Low Risk,Fully Paid,453621.81,9.98,40398.8,12,1,2025-03-15,2025-03-20
Cebu IT Park Branch,OFW Remittance Advance,Self-Employed,Low Risk,Past Due,105937.66,18.17,67563.37,18,9,2025-06-19,2025-06-25
Davao Central Branch,Small Business Micro-Loan,Contractual,Medium Risk,Fully Paid,43987.04,15.5,86360.13,18,49,2025-06-29,2025-07-02
Cebu IT Park Branch,Salary Loan,Self-Employed,Medium Risk,Past Due,59381.22,17.59,23005.12,6,80,2025-06-02,2025-06-08
Quezon City Hub,Salary Loan,Contractual,Medium Risk,Past Due,18928.69,11.1,43843.9,24,11,2025-05-05,2025-05-07
Quezon City Hub,OFW Remittance Advance,Contractual,Medium Risk,Past Due,56277.05,19.92,99731.38,24,69,2025-03-08,2025-03-14
Quezon City Hub,Emergency Cash Loan,OFW Dependent,Low Risk,Restructured,344673.32,21.87,63264.81,6,21,2025-01-06,2025-01-08
Makati CBD Branch,Salary Loan,OFW Dependent,High Risk,Fully Paid,44882.44,11.86,72390.6,6,31,2025-05-05,2025-05-08
Cebu IT Park Branch,Small Business Micro-Loan,Regular,High Risk,Restructured,166298.06,9.98,60445.68,18,83,2025-02-27,2025-03-05
Davao Central Branch,Emergency Cash Loan,OFW Dependent,High Risk,Fully Paid,423988.9,8.87,19609.49,36,0,2025-03-11,2025-03-16
Cebu IT Park Branch,Emergency Cash Loan,Contractual,Medium Risk,Active,21403.25,18.45,32403.73,18,53,2025-02-22,2025-02-27
Davao Central Branch,Emergency Cash Loan,Self-Employed,Low Risk,Active,409089.56,17.91,61781.87,6,57,2025-03-07,2025-03-12
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,Low Risk,Fully Paid,148108.84,16.97,36964.47,24,69,2025-02-27,2025-03-05
Quezon City Hub,Salary Loan,Regular,Low Risk,Fully Paid,67900.77,12.1,20247.8,18,82,2025-03-23,2025-03-29
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Fully Paid,351401.21,14.56,103583.21,36,17,2025-03-28,2025-04-03
Cebu IT Park Branch,Emergency Cash Loan,Regular,Medium Risk,Fully Paid,318181.99,17.71,118025.22,18,5,2025-01-02,2025-01-04
Makati CBD Branch,Small Business Micro-Loan,Contractual,Low Risk,Past Due,439961.29,16.2,98280.0,12,44,2025-05-30,2025-06-02
Makati CBD Branch,Small Business Micro-Loan,OFW Dependent,Medium Risk,Restructured,370184.81,23.81,104647.42,18,22,2025-02-06,2025-02-11
Cebu IT Park Branch,OFW Remittance Advance,Regular,Low Risk,Past Due,403705.66,10.61,40407.6,6,22,2025-05-28,2025-05-30
Quezon City Hub,Salary Loan,Self-Employed,Medium Risk,Restructured,148196.94,19.27,115865.83,24,25,2025-04-13,2025-04-18
Davao Central Branch,OFW Remittance Advance,Self-Employed,Low Risk,Restructured,96945.38,14.77,35677.2,24,76,2025-01-24,2025-01-26
Cebu IT Park Branch,Emergency Cash Loan,Regular,Medium Risk,Restructured,377801.23,15.14,114900.13,6,6,2025-04-22,2025-04-28
Makati CBD Branch,Salary Loan,Regular,Low Risk,Past Due,405349.02,19.62,119456.03,12,78,2025-03-06,2025-03-11
Davao Central Branch,Salary Loan,Regular,Low Risk,Fully Paid,495347.52,19.23,89730.89,6,43,2025-05-09,2025-05-15
Makati CBD Branch,Emergency Cash Loan,Contractual,Medium Risk,Past Due,212182.66,23.86,118020.09,18,26,2025-04-27,2025-05-02
Makati CBD Branch,Small Business Micro-Loan,Contractual,Medium Risk,Past Due,192288.86,10.49,74801.68,6,25,2025-04-26,2025-04-30
Cebu IT Park Branch,Emergency Cash Loan,Self-Employed,High Risk,Restructured,390442.35,10.11,42251.89,6,78,2025-04-15,2025-04-17
Makati CBD Branch,OFW Remittance Advance,Contractual,Medium Risk,Active,176993.73,19.73,60884.57,12,35,2025-01-03,2025-01-07
Davao Central Branch,Emergency Cash Loan,Contractual,Low Risk,Active,466071.09,17.46,77323.9,18,54,2025-02-15,2025-02-17
Quezon City Hub,Small Business Micro-Loan,OFW Dependent,Low Risk,Past Due,430622.25,12.75,22673.56,36,63,2025-02-24,2025-02-27
Cebu IT Park Branch,Emergency Cash Loan,Contractual,Medium Risk,Restructured,220207.07,9.73,80346.04,36,56,2025-03-16,2025-03-21
Davao Central Branch,OFW Remittance Advance,OFW Dependent,High Risk,Past Due,377926.82,9.83,118023.67,24,68,2025-02-14,2025-02-17
