hotel_name,booking_status,room_type,total_guests,amenities,total_nights,price_per_night,total_amount,payment_method,check_in_date,check_out_date,rating
The Manila Hotel,cancelled,suite,1,spa,7,4269.22,7755.63,credit card,2/9/2025,1/19/2025,3
Grand Hyatt Manila,cancelled,suite,3,gym,10,2916.78,15041.08,cash,1/15/2025,1/6/2025,1
Grand Hyatt Manila,cancelled,single,1,spa,7,4233.97,5609.03,cash,1/28/2025,1/7/2025,4
Grand Hyatt Manila,cancelled,suite,9,pool,8,4356.08,8004.35,credit card,1/18/2025,1/27/2025,2
Okada Manila,confirmed,double,2,pool,10,4087.98,2116.71,cash,1/1/2025,1/6/2025,2
The Manila Hotel,confirmed,suite,7,spa,10,4182.75,10499.1,credit card,2/1/2025,2/8/2025,3
Okada Manila,pending,suite,5,gym,8,4551.68,6826.43,cash,1/17/2025,2/1/2025,1
The Manila Hotel,confirmed,single,7,pool,2,1659.72,11253.04,credit card,1/23/2025,2/11/2025,4
The Manila Hotel,confirmed,suite,3,pool,10,3477.64,19138.78,cash,1/14/2025,1/19/2025,1
The Manila Hotel,cancelled,single,8,pool,4,3004.38,20102.78,credit card,2/6/2025,1/22/2025,2
The Manila Hotel,pending,single,9,spa,4,4853.33,12155.42,cash,2/2/2025,1/14/2025,3
Grand Hyatt Manila,pending,double,8,spa,1,4431.58,25688.03,cash,1/13/2025,2/8/2025,2
Grand Hyatt Manila,cancelled,double,3,gym,7,3099.21,20081.42,cash,1/16/2025,2/1/2025,1
Grand Hyatt Manila,cancelled,single,5,spa,7,2993.33,18780.8,cash,1/5/2025,1/14/2025,1
The Manila Hotel,cancelled,suite,4,gym,7,3447.46,23495.42,cash,2/9/2025,1/7/2025,5
The Peninsula Manila,cancelled,double,10,gym,6,4879.13,24126.71,credit card,1/8/2025,2/1/2025,4
Grand Hyatt Manila,pending,suite,9,gym,9,4753.94,14894.29,credit card,2/18/2025,2/5/2025,4
Grand Hyatt Manila,pending,single,10,spa,8,3496.37,18277.83,credit card,2/11/2025,1/6/2025,5
Grand Hyatt Manila,cancelled,double,5,gym,10,4502.19,23817.11,credit card,2/7/2025,1/11/2025,2
The Manila Hotel,pending,single,9,spa,6,2940.53,4718.83,online transfer,1/5/2025,2/14/2025,4
Grand Hyatt Manila,cancelled,suite,9,spa,4,3640.25,21501.86,credit card,1/23/2025,2/4/2025,4
Okada Manila,confirmed,single,1,gym,2,3404.77,4615.44,online transfer,1/3/2025,2/10/2025,5
Okada Manila,cancelled,double,6,pool,6,3075.65,23788.58,cash,2/15/2025,1/4/2025,1
Okada Manila,cancelled,double,6,pool,10,4495.33,25728.28,credit card,2/12/2025,2/18/2025,1
Okada Manila,cancelled,double,6,pool,2,3446.98,17780.15,credit card,1/22/2025,1/31/2025,2
Okada Manila,cancelled,suite,4,gym,3,3348.42,2680.68,credit card,1/5/2025,1/14/2025,3
The Manila Hotel,confirmed,single,7,spa,6,4412.49,25198.9,online transfer,1/26/2025,2/16/2025,3
The Peninsula Manila,pending,suite,7,pool,8,3515.57,20026.16,cash,1/2/2025,1/31/2025,4
The Manila Hotel,cancelled,single,3,gym,3,3432.44,22686.21,credit card,1/12/2025,1/19/2025,2
The Manila Hotel,pending,single,4,gym,4,4243.94,26025.25,cash,1/28/2025,1/26/2025,1
The Peninsula Manila,pending,suite,3,pool,8,4037.8,2973.93,online transfer,2/16/2025,2/19/2025,5
The Peninsula Manila,confirmed,suite,7,gym,4,4163.67,14427.99,online transfer,2/7/2025,1/7/2025,4
Grand Hyatt Manila,pending,double,4,pool,1,2176.36,28965.19,credit card,2/11/2025,2/17/2025,3
Okada Manila,pending,double,3,pool,2,2764.75,9261.67,credit card,2/17/2025,1/6/2025,1
The Peninsula Manila,cancelled,double,5,gym,4,2903.39,10790.94,credit card,2/4/2025,1/26/2025,1
The Manila Hotel,pending,single,5,spa,6,4645.1,25032.87,online transfer,1/26/2025,2/15/2025,4
Okada Manila,cancelled,suite,6,pool,2,4231.04,5152.87,cash,1/21/2025,2/13/2025,4
The Peninsula Manila,pending,double,8,gym,2,3146.71,26143.45,online transfer,1/31/2025,2/6/2025,3
Okada Manila,cancelled,double,1,pool,8,4297.11,15481.86,credit card,1/2/2025,2/12/2025,1
The Peninsula Manila,pending,suite,3,spa,10,1855.05,20335.65,cash,1/13/2025,1/30/2025,5
Okada Manila,pending,single,6,spa,1,2717.21,21662.37,cash,2/13/2025,1/21/2025,2
The Manila Hotel,confirmed,single,9,spa,10,4973.84,2213.7,cash,2/2/2025,2/3/2025,1
The Peninsula Manila,cancelled,double,8,spa,1,4875.76,12662.84,online transfer,2/17/2025,1/3/2025,5
The Peninsula Manila,cancelled,double,5,pool,5,3585.83,24602.39,cash,1/5/2025,1/19/2025,3
The Manila Hotel,pending,suite,7,pool,10,1692.41,4425.29,online transfer,2/6/2025,1/22/2025,3
The Peninsula Manila,cancelled,single,6,pool,2,4777.35,6081.39,credit card,1/1/2025,2/13/2025,3
The Peninsula Manila,cancelled,double,6,pool,1,1539.53,23291.78,credit card,1/4/2025,1/5/2025,3
Okada Manila,cancelled,suite,9,pool,10,4455.31,20803.66,credit card,2/11/2025,1/25/2025,1
The Manila Hotel,confirmed,double,2,pool,4,4007.28,19800.1,cash,2/17/2025,1/17/2025,2
Grand Hyatt Manila,pending,suite,9,spa,8,3686.62,10703.95,cash,1/15/2025,2/17/2025,3
Grand Hyatt Manila,pending,suite,4,spa,5,3997.83,4094.49,online transfer,2/11/2025,1/15/2025,2
The Peninsula Manila,pending,double,3,spa,1,4891.31,8431.12,credit card,1/8/2025,2/3/2025,4
Grand Hyatt Manila,confirmed,suite,6,pool,5,3422.31,22017.29,online transfer,1/29/2025,2/3/2025,3
Grand Hyatt Manila,confirmed,double,3,spa,1,3827.46,9720.96,online transfer,1/18/2025,1/26/2025,1
Grand Hyatt Manila,confirmed,single,9,gym,8,3894.19,14173.18,online transfer,1/3/2025,1/21/2025,2
Okada Manila,confirmed,double,10,gym,2,2329.07,5848.36,cash,2/2/2025,1/31/2025,4
Okada Manila,pending,double,5,gym,5,4447.71,26361.52,cash,2/16/2025,1/4/2025,5
The Peninsula Manila,pending,suite,9,gym,7,3583.0,28160.6,credit card,2/17/2025,2/4/2025,5
The Manila Hotel,confirmed,suite,4,pool,8,4450.81,22790.9,online transfer,1/12/2025,1/2/2025,4
Grand Hyatt Manila,pending,suite,10,gym,8,2532.29,14463.76,cash,1/8/2025,1/24/2025,1
The Manila Hotel,confirmed,suite,10,spa,10,3163.87,10907.61,credit card,2/15/2025,2/8/2025,2
Okada Manila,confirmed,suite,1,spa,5,1911.98,23760.72,online transfer,1/24/2025,2/8/2025,2
Grand Hyatt Manila,pending,single,9,spa,10,1940.06,17329.96,cash,1/25/2025,1/10/2025,4
The Manila Hotel,pending,suite,4,spa,8,4134.43,29232.02,online transfer,1/18/2025,1/17/2025,1
Okada Manila,confirmed,suite,8,gym,6,4930.06,17644.81,online transfer,2/1/2025,1/10/2025,2
The Manila Hotel,cancelled,double,3,pool,2,2937.93,14544.17,credit card,2/17/2025,2/7/2025,1
Okada Manila,confirmed,double,4,gym,10,2161.67,25358.84,credit card,1/28/2025,2/5/2025,4
Okada Manila,pending,suite,7,spa,4,4192.55,25471.09,online transfer,2/7/2025,1/19/2025,2
Okada Manila,cancelled,suite,7,spa,10,1850.84,7093.69,online transfer,1/9/2025,1/17/2025,4
Grand Hyatt Manila,confirmed,suite,1,gym,8,4015.5,3102.04,credit card,1/13/2025,2/19/2025,1
Okada Manila,confirmed,double,6,gym,2,1529.28,16347.26,credit card,1/16/2025,1/31/2025,4
The Manila Hotel,confirmed,suite,7,gym,1,4938.21,14563.35,credit card,1/13/2025,2/9/2025,4
Okada Manila,confirmed,double,2,gym,9,3219.0,4320.41,online transfer,2/1/2025,1/29/2025,2
The Manila Hotel,cancelled,suite,6,pool,9,4716.93,22794.73,cash,2/18/2025,2/11/2025,3
Okada Manila,cancelled,double,8,spa,10,4068.52,28968.42,online transfer,1/7/2025,2/11/2025,1
The Manila Hotel,cancelled,single,8,spa,3,2048.61,15628.55,online transfer,2/2/2025,1/27/2025,4
Okada Manila,cancelled,double,3,pool,3,4805.89,15786.01,credit card,2/7/2025,1/18/2025,3
The Peninsula Manila,pending,double,3,gym,4,2416.06,1895.62,online transfer,2/11/2025,2/9/2025,4
The Peninsula Manila,pending,suite,10,gym,10,4552.9,6142.45,cash,1/15/2025,2/5/2025,1
The Peninsula Manila,confirmed,suite,9,spa,2,1550.49,20470.74,online transfer,1/18/2025,1/14/2025,4
The Manila Hotel,confirmed,single,7,gym,5,2643.04,6217.94,cash,2/12/2025,1/12/2025,2
The Peninsula Manila,confirmed,suite,10,spa,3,3408.61,17658.8,credit card,1/30/2025,1/15/2025,5
The Peninsula Manila,confirmed,double,1,pool,1,2107.82,12585.66,online transfer,1/18/2025,1/30/2025,5
The Peninsula Manila,confirmed,double,2,gym,2,4600.19,27667.49,cash,2/1/2025,2/12/2025,4
The Peninsula Manila,pending,single,9,pool,5,2526.22,5214.61,credit card,1/1/2025,1/27/2025,3
Grand Hyatt Manila,cancelled,double,1,gym,1,1617.6,26782.38,cash,1/15/2025,1/1/2025,1
The Peninsula Manila,cancelled,double,4,gym,7,2016.85,17347.73,cash,2/17/2025,1/19/2025,3
The Peninsula Manila,cancelled,suite,4,pool,6,3318.12,9675.02,cash,1/30/2025,1/2/2025,2
The Peninsula Manila,cancelled,suite,7,pool,7,3189.65,8566.25,credit card,2/11/2025,2/10/2025,1
Okada Manila,cancelled,single,9,pool,5,3092.44,2532.48,cash,1/2/2025,1/17/2025,4
The Manila Hotel,pending,double,8,gym,3,2829.04,29341.61,credit card,1/10/2025,1/22/2025,4
Grand Hyatt Manila,confirmed,double,1,spa,7,4559.1,12110.75,cash,1/8/2025,1/12/2025,4
Grand Hyatt Manila,cancelled,single,9,gym,5,2921.91,26202.97,online transfer,1/29/2025,1/16/2025,3
Okada Manila,cancelled,double,1,gym,7,4844.61,20003.32,online transfer,2/11/2025,1/26/2025,1
The Peninsula Manila,pending,double,7,spa,10,2452.85,16647.92,credit card,1/1/2025,1/31/2025,3
The Peninsula Manila,pending,double,6,gym,9,1812.07,11207.31,credit card,2/18/2025,1/20/2025,3
The Peninsula Manila,pending,double,7,pool,5,3018.83,9425.33,online transfer,2/12/2025,2/15/2025,4
The Manila Hotel,confirmed,double,1,pool,9,4639.61,8718.56,credit card,1/12/2025,1/17/2025,2
The Peninsula Manila,cancelled,double,6,pool,4,2072.45,25340.16,credit card,2/10/2025,1/28/2025,3
The Peninsula Manila,confirmed,suite,1,gym,9,1713.7,10128.94,credit card,2/10/2025,2/17/2025,1
Grand Hyatt Manila,confirmed,single,5,gym,10,4520.2,5436.12,cash,2/2/2025,2/7/2025,2
Okada Manila,confirmed,single,10,gym,10,4236.55,2891.1,online transfer,1/9/2025,2/9/2025,5
The Manila Hotel,cancelled,suite,1,pool,10,4821.52,24986.62,credit card,1/6/2025,1/19/2025,4
The Manila Hotel,confirmed,single,9,gym,1,3122.07,3279.69,cash,1/27/2025,2/12/2025,1
The Manila Hotel,cancelled,double,4,pool,4,2373.4,28197.45,online transfer,1/18/2025,2/17/2025,3
The Manila Hotel,cancelled,double,5,pool,3,4257.57,26032.09,cash,2/10/2025,1/31/2025,2
The Peninsula Manila,cancelled,double,6,pool,4,3024.15,24731.32,cash,1/27/2025,1/21/2025,3
The Peninsula Manila,pending,single,5,pool,4,2582.56,26044.84,credit card,1/24/2025,1/17/2025,1
The Manila Hotel,cancelled,single,3,gym,2,4726.31,14396.06,online transfer,1/4/2025,2/13/2025,3
Okada Manila,confirmed,single,5,spa,4,4689.3,17813.2,credit card,1/8/2025,1/10/2025,3
The Manila Hotel,cancelled,suite,5,gym,1,3039.66,14364.95,cash,1/23/2025,1/13/2025,4
Okada Manila,pending,suite,9,pool,5,1970.15,19961.39,cash,1/22/2025,1/4/2025,1
Grand Hyatt Manila,pending,double,7,pool,10,4316.55,20949.75,cash,2/18/2025,1/31/2025,3
The Manila Hotel,confirmed,double,10,spa,8,2274.9,5365.39,cash,1/1/2025,2/16/2025,3
The Peninsula Manila,pending,double,6,pool,7,2923.37,11939.19,credit card,1/3/2025,1/16/2025,4
Okada Manila,pending,double,4,pool,7,2619.7,13342.19,cash,2/9/2025,2/6/2025,2
The Manila Hotel,confirmed,single,10,spa,3,2985.6,5493.46,credit card,2/8/2025,1/24/2025,4
Grand Hyatt Manila,confirmed,single,5,spa,9,4313.4,15468.63,online transfer,1/16/2025,1/5/2025,4
The Manila Hotel,confirmed,double,6,gym,5,3105.73,24219.14,credit card,1/4/2025,1/16/2025,5
Okada Manila,confirmed,double,4,spa,6,3057.24,14979.94,online transfer,1/9/2025,1/15/2025,2
Okada Manila,pending,suite,1,gym,1,4263.26,18299.69,cash,2/10/2025,2/10/2025,3
The Manila Hotel,cancelled,double,4,spa,1,3563.59,19087.46,cash,2/11/2025,1/17/2025,5
The Peninsula Manila,confirmed,double,10,spa,1,4162.16,19731.1,cash,1/14/2025,1/10/2025,5
The Peninsula Manila,cancelled,single,3,gym,2,1574.41,2283.28,cash,1/8/2025,1/27/2025,1
Grand Hyatt Manila,confirmed,double,5,gym,6,3841.52,14597.3,credit card,2/8/2025,1/18/2025,5
The Peninsula Manila,cancelled,double,3,pool,7,4239.27,15314.24,credit card,1/13/2025,1/13/2025,1
Okada Manila,pending,suite,4,spa,8,3916.48,12256.33,credit card,2/4/2025,2/6/2025,1
The Manila Hotel,pending,double,7,spa,8,4018.71,15924.75,credit card,1/21/2025,2/19/2025,3
The Manila Hotel,pending,single,10,spa,5,1850.91,20009.8,credit card,1/2/2025,2/18/2025,5
The Manila Hotel,confirmed,double,9,spa,8,2958.6,21084.55,credit card,1/14/2025,1/11/2025,2
Grand Hyatt Manila,confirmed,suite,8,gym,9,4411.51,17649.14,credit card,1/11/2025,2/16/2025,3
Okada Manila,pending,single,9,pool,4,3885.22,6403.47,cash,1/23/2025,2/12/2025,5
The Manila Hotel,confirmed,single,9,gym,9,4741.49,11256.29,credit card,1/6/2025,1/3/2025,2
The Manila Hotel,cancelled,suite,10,spa,10,3934.86,29233.1,online transfer,1/22/2025,2/19/2025,3
The Manila Hotel,pending,suite,2,spa,2,3701.28,26011.92,cash,1/10/2025,1/4/2025,5
The Manila Hotel,confirmed,double,2,spa,7,4894.38,3320.73,online transfer,1/2/2025,1/19/2025,3
The Manila Hotel,cancelled,single,5,gym,5,1521.64,29888.62,online transfer,1/7/2025,1/15/2025,1
Okada Manila,cancelled,suite,3,spa,7,2267.31,10608.85,credit card,1/7/2025,1/3/2025,5
Okada Manila,pending,suite,5,gym,10,3469.68,28863.33,online transfer,2/5/2025,2/10/2025,2
The Peninsula Manila,pending,suite,1,pool,2,2841.34,5134.22,credit card,2/10/2025,1/3/2025,4
The Manila Hotel,cancelled,single,10,gym,3,2451.47,11862.1,credit card,2/4/2025,2/19/2025,1
The Peninsula Manila,confirmed,suite,6,gym,9,4029.42,25081.55,cash,2/3/2025,1/8/2025,1
The Peninsula Manila,confirmed,suite,3,pool,10,2346.4,7644.47,cash,1/3/2025,1/22/2025,2
Grand Hyatt Manila,confirmed,single,8,pool,6,4718.31,21132.3,credit card,2/16/2025,2/3/2025,5
Grand Hyatt Manila,pending,single,1,pool,8,3881.64,26174.54,credit card,1/12/2025,1/1/2025,2
Okada Manila,pending,double,10,pool,7,3054.26,21661.74,credit card,2/6/2025,2/18/2025,3
Okada Manila,cancelled,single,3,gym,5,2653.61,22205.89,cash,2/17/2025,1/25/2025,5
The Peninsula Manila,cancelled,suite,4,pool,1,1837.59,4871.72,cash,1/17/2025,1/28/2025,1
Grand Hyatt Manila,confirmed,single,6,gym,7,4807.89,25450.37,online transfer,1/7/2025,1/18/2025,5
The Manila Hotel,confirmed,double,6,gym,8,3487.37,14648.71,credit card,2/10/2025,1/17/2025,2
The Manila Hotel,pending,double,2,gym,6,2745.21,11797.09,cash,1/25/2025,1/27/2025,2
Okada Manila,pending,suite,1,gym,9,4864.03,6617.83,credit card,1/30/2025,2/13/2025,3
The Manila Hotel,pending,single,10,pool,4,2987.26,18109.62,cash,1/14/2025,1/28/2025,2
Okada Manila,confirmed,single,5,pool,7,2470.56,21190.44,online transfer,1/20/2025,1/25/2025,5
The Manila Hotel,cancelled,single,5,gym,4,3600.71,24244.4,credit card,1/12/2025,2/13/2025,2
The Manila Hotel,pending,suite,10,pool,6,2320.98,22760.25,cash,2/16/2025,1/18/2025,4
The Manila Hotel,confirmed,single,6,gym,6,4283.58,12613.46,cash,2/3/2025,1/3/2025,2
The Manila Hotel,cancelled,double,9,gym,5,2262.42,19652.38,online transfer,1/31/2025,1/14/2025,3
The Manila Hotel,pending,double,1,gym,4,2788.24,29203.07,cash,1/23/2025,2/6/2025,2
The Peninsula Manila,pending,single,4,spa,5,4575.44,23276.27,cash,2/11/2025,1/23/2025,3
The Peninsula Manila,cancelled,double,3,pool,7,3013.66,6848.19,credit card,2/8/2025,1/15/2025,4
The Peninsula Manila,pending,single,10,gym,4,3947.72,22328.96,cash,2/11/2025,1/26/2025,1
The Manila Hotel,confirmed,single,4,gym,8,1657.83,21148.87,online transfer,1/9/2025,2/16/2025,5
Grand Hyatt Manila,cancelled,single,2,gym,3,1652.98,23195.95,online transfer,1/2/2025,1/31/2025,1
Okada Manila,confirmed,single,10,gym,5,1844.19,20788.7,online transfer,1/2/2025,1/20/2025,4
Grand Hyatt Manila,pending,single,1,gym,6,2168.38,23492.16,credit card,2/18/2025,1/25/2025,1
The Manila Hotel,pending,single,4,pool,9,3677.58,10144.76,online transfer,2/1/2025,2/5/2025,4
The Manila Hotel,pending,single,10,spa,7,4540.18,18245.05,cash,2/4/2025,2/1/2025,3
The Manila Hotel,pending,single,9,pool,5,1599.93,13707.8,credit card,1/21/2025,1/10/2025,5
Grand Hyatt Manila,cancelled,double,7,gym,1,3957.58,4718.66,cash,1/5/2025,2/18/2025,2
Okada Manila,pending,suite,4,pool,10,3433.05,5618.8,online transfer,1/24/2025,1/23/2025,1
The Peninsula Manila,pending,single,6,gym,8,1907.24,7380.99,cash,2/9/2025,1/29/2025,1
The Manila Hotel,confirmed,double,6,pool,7,1902.53,4572.39,cash,1/25/2025,1/14/2025,5
Grand Hyatt Manila,pending,suite,8,gym,3,3673.15,24072.81,credit card,2/6/2025,1/2/2025,2
The Peninsula Manila,pending,single,10,spa,2,4983.36,4020.85,cash,2/18/2025,2/9/2025,3
Grand Hyatt Manila,pending,single,2,pool,3,2182.21,17855.56,credit card,1/4/2025,2/7/2025,1
Okada Manila,pending,suite,9,gym,5,4849.63,9053.27,cash,1/9/2025,2/9/2025,5
The Manila Hotel,confirmed,suite,5,spa,7,3993.45,12275.61,credit card,1/9/2025,1/27/2025,3
Okada Manila,cancelled,single,9,spa,1,2336.56,9804.87,online transfer,2/4/2025,2/3/2025,4
The Manila Hotel,confirmed,single,7,spa,3,2543.05,10253.55,online transfer,1/28/2025,1/30/2025,4
Okada Manila,cancelled,single,4,gym,10,2280.71,28990.9,credit card,1/14/2025,2/6/2025,4
Grand Hyatt Manila,pending,double,10,gym,4,1652.31,21213.83,credit card,2/1/2025,1/23/2025,2
Okada Manila,pending,suite,7,spa,10,1710.34,11618.43,credit card,2/7/2025,2/12/2025,1
Grand Hyatt Manila,pending,suite,4,gym,4,2985.06,12281.57,credit card,2/8/2025,1/9/2025,4
Okada Manila,pending,double,8,gym,6,4480.94,23326.02,online transfer,2/3/2025,2/19/2025,4
Grand Hyatt Manila,pending,single,9,spa,7,2978.83,12233.8,credit card,1/30/2025,1/10/2025,5
Okada Manila,pending,suite,1,spa,9,2348.71,16185.34,credit card,1/27/2025,1/30/2025,3
The Manila Hotel,pending,single,1,spa,2,3201.62,5402.65,online transfer,2/3/2025,2/15/2025,4
The Peninsula Manila,cancelled,double,2,gym,9,3348.66,14393.68,online transfer,2/9/2025,1/28/2025,1
The Manila Hotel,pending,double,1,pool,1,1755.67,10526.79,online transfer,2/13/2025,1/21/2025,2
Okada Manila,pending,double,4,spa,3,3789.64,11476.02,credit card,1/29/2025,1/1/2025,1
Grand Hyatt Manila,cancelled,single,10,spa,9,4534.66,11597.7,cash,1/2/2025,1/29/2025,4
Okada Manila,cancelled,suite,4,pool,4,3806.47,28093.64,online transfer,1/20/2025,1/28/2025,4
The Manila Hotel,pending,double,10,pool,4,1527.74,17476.7,online transfer,1/10/2025,1/5/2025,4
Okada Manila,confirmed,suite,2,spa,6,4616.43,3754.59,online transfer,1/24/2025,2/12/2025,3
The Peninsula Manila,pending,single,3,pool,2,1836.33,1671.94,cash,2/17/2025,2/2/2025,5
Grand Hyatt Manila,confirmed,single,4,pool,6,3566.94,29996.87,online transfer,2/13/2025,2/10/2025,4
Okada Manila,confirmed,single,2,gym,1,3451.55,22689.29,cash,1/9/2025,1/6/2025,2
Okada Manila,pending,double,4,spa,8,1969.13,21017.43,online transfer,1/23/2025,2/1/2025,3
Okada Manila,confirmed,single,1,spa,4,4193.02,18815.27,credit card,1/21/2025,1/26/2025,4
The Peninsula Manila,cancelled,single,5,pool,7,1806.99,21573.2,cash,1/16/2025,2/16/2025,1
The Peninsula Manila,confirmed,suite,4,spa,6,3853.34,9590.68,credit card,2/5/2025,1/1/2025,3
Okada Manila,confirmed,double,3,spa,8,3058.0,27972.17,cash,2/8/2025,1/11/2025,4
Okada Manila,pending,suite,4,spa,7,2495.69,1865.26,online transfer,1/17/2025,2/17/2025,5
The Manila Hotel,confirmed,single,10,gym,5,1722.55,24745.81,cash,2/11/2025,1/22/2025,3
The Peninsula Manila,cancelled,double,1,pool,6,2232.23,8119.59,cash,2/2/2025,2/16/2025,2
Okada Manila,pending,single,5,gym,8,4292.39,23965.09,online transfer,2/4/2025,1/4/2025,5
Grand Hyatt Manila,pending,single,7,pool,2,2570.65,3696.84,online transfer,1/3/2025,1/12/2025,1
The Peninsula Manila,pending,single,7,gym,10,2805.83,16298.8,cash,1/6/2025,1/31/2025,3
The Manila Hotel,confirmed,single,3,spa,2,4232.09,27131.0,credit card,2/19/2025,1/22/2025,4
The Manila Hotel,confirmed,suite,5,pool,3,3766.71,16102.99,online transfer,1/10/2025,1/17/2025,3
Grand Hyatt Manila,cancelled,double,6,spa,5,3574.59,13821.53,cash,1/13/2025,2/7/2025,1
The Manila Hotel,cancelled,double,6,pool,6,3114.9,14161.42,online transfer,1/16/2025,1/19/2025,3
Grand Hyatt Manila,confirmed,double,2,gym,2,3131.49,8951.69,credit card,1/13/2025,1/26/2025,3
The Peninsula Manila,confirmed,suite,4,gym,1,2774.35,13048.91,credit card,1/21/2025,1/26/2025,3
The Peninsula Manila,cancelled,single,8,gym,10,3371.05,20879.43,cash,1/10/2025,1/10/2025,4
Okada Manila,pending,single,1,gym,9,4103.69,10495.61,cash,1/16/2025,2/14/2025,4
The Peninsula Manila,confirmed,single,4,spa,8,2373.02,28672.55,credit card,2/7/2025,2/10/2025,1
The Peninsula Manila,confirmed,double,8,pool,8,2039.26,23397.14,online transfer,1/20/2025,1/10/2025,5
Okada Manila,pending,single,2,gym,1,3713.58,10266.67,credit card,2/7/2025,1/16/2025,4
Okada Manila,confirmed,suite,7,pool,6,3874.15,25169.7,cash,1/9/2025,1/22/2025,2
The Manila Hotel,confirmed,suite,7,spa,6,2617.7,18335.46,credit card,2/2/2025,1/17/2025,4
The Manila Hotel,cancelled,single,9,pool,3,1753.87,12342.4,online transfer,2/4/2025,1/4/2025,5
Okada Manila,pending,double,6,pool,8,3321.83,25235.03,online transfer,1/15/2025,2/13/2025,2
Grand Hyatt Manila,confirmed,suite,8,spa,8,4783.52,22466.13,cash,1/14/2025,1/18/2025,4
Grand Hyatt Manila,cancelled,suite,2,pool,10,2281.78,26256.81,cash,2/7/2025,2/6/2025,3
Okada Manila,confirmed,single,1,spa,2,2490.52,2339.17,online transfer,2/18/2025,1/21/2025,3
Grand Hyatt Manila,pending,double,1,spa,6,2384.84,19599.34,online transfer,1/5/2025,2/16/2025,1
The Manila Hotel,cancelled,double,2,gym,10,2119.63,29160.14,cash,2/14/2025,2/12/2025,4
The Peninsula Manila,pending,suite,6,gym,5,4257.37,29476.55,online transfer,1/15/2025,1/28/2025,4
The Manila Hotel,confirmed,suite,7,spa,8,2571.68,19759.57,online transfer,1/9/2025,1/12/2025,2
The Manila Hotel,confirmed,suite,10,pool,5,2956.19,10988.22,credit card,2/14/2025,1/12/2025,1
Okada Manila,confirmed,single,7,pool,5,2164.18,21381.77,online transfer,1/6/2025,2/17/2025,3
The Manila Hotel,cancelled,single,3,pool,3,3352.11,13235.91,online transfer,1/4/2025,1/10/2025,3
The Peninsula Manila,confirmed,suite,2,gym,8,3564.21,4074.48,cash,1/3/2025,1/29/2025,4
The Peninsula Manila,pending,suite,9,spa,7,1989.61,16226.73,cash,1/25/2025,1/25/2025,1
The Peninsula Manila,confirmed,single,10,gym,9,4094.9,7321.4,credit card,1/13/2025,1/15/2025,1
The Manila Hotel,cancelled,suite,9,pool,6,3391.85,15274.09,credit card,2/16/2025,2/16/2025,1
The Peninsula Manila,confirmed,suite,1,spa,1,2220.34,3475.05,online transfer,2/19/2025,2/6/2025,2
The Peninsula Manila,confirmed,double,5,spa,1,4313.72,22783.9,credit card,1/3/2025,1/7/2025,5
Grand Hyatt Manila,confirmed,single,10,spa,5,4313.41,17232.45,online transfer,2/16/2025,2/6/2025,3
Okada Manila,pending,double,1,pool,8,2407.07,2512.7,cash,1/26/2025,2/17/2025,3
The Manila Hotel,cancelled,suite,7,gym,1,4739.55,17224.52,online transfer,1/21/2025,1/27/2025,1
Okada Manila,cancelled,single,5,spa,7,4971.09,2988.19,online transfer,2/1/2025,1/23/2025,1
Okada Manila,pending,double,8,gym,5,3975.43,10141.44,cash,1/6/2025,1/24/2025,3
Grand Hyatt Manila,confirmed,double,2,gym,4,4216.69,8571.86,online transfer,2/14/2025,1/26/2025,2
The Manila Hotel,pending,double,1,pool,7,4730.07,12347.52,credit card,1/3/2025,1/30/2025,1
Okada Manila,confirmed,single,3,spa,8,1867.43,15216.22,credit card,1/31/2025,2/6/2025,1
The Peninsula Manila,confirmed,double,1,gym,9,4624.21,3725.12,online transfer,1/8/2025,2/16/2025,5
The Manila Hotel,pending,suite,9,spa,2,3680.45,15084.55,credit card,2/13/2025,1/26/2025,2
Okada Manila,pending,suite,5,gym,3,3200.46,18932.24,credit card,1/19/2025,1/21/2025,4
The Manila Hotel,confirmed,single,7,spa,10,2967.0,25318.81,online transfer,2/5/2025,1/22/2025,5
Grand Hyatt Manila,cancelled,single,1,pool,8,1583.81,21748.7,online transfer,1/19/2025,2/13/2025,2
Grand Hyatt Manila,pending,double,10,spa,3,2585.75,15971.27,online transfer,2/4/2025,1/31/2025,2
Grand Hyatt Manila,confirmed,single,4,spa,1,4143.18,27444.58,online transfer,2/1/2025,1/21/2025,3
Okada Manila,confirmed,double,10,pool,1,1902.53,8070.11,online transfer,1/11/2025,2/4/2025,5
Okada Manila,pending,suite,10,pool,6,2757.38,18394.57,cash,1/9/2025,1/30/2025,5
The Manila Hotel,pending,single,10,gym,6,3045.09,2479.53,cash,1/13/2025,1/25/2025,2
The Manila Hotel,confirmed,single,2,pool,5,4708.95,12513.21,online transfer,1/8/2025,2/4/2025,1
The Peninsula Manila,pending,suite,5,gym,3,3401.38,8928.39,cash,1/10/2025,2/5/2025,4
The Peninsula Manila,cancelled,suite,9,spa,1,3491.12,2147.96,online transfer,2/2/2025,1/19/2025,5
Okada Manila,pending,double,2,spa,9,4758.02,2957.67,credit card,1/26/2025,2/11/2025,4
The Manila Hotel,cancelled,suite,7,spa,2,3761.12,20101.93,cash,1/25/2025,2/19/2025,2
